COMP,REGIAO,UF,CO_IBGE,MUNICIPIO,CNES,NOME_ESTABELECIMENTO,RAZAO_SOCIAL,TP_GESTAO,CO_TIPO_UNIDADE,DS_TIPO_UNIDADE,NATUREZA_JURIDICA,DESC_NATUREZA_JURIDICA,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_TELEFONE,NO_EMAIL,LEITOS_EXISTENTES,LEITOS_SUS,UTI_TOTAL_EXIST,UTI_TOTAL_SUS,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS
202601,SUDESTE,RJ,330330,NITEROI,12505,HOSPITAL UNIVERSITARIO ANTONIO PEDRO,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES,M,5,HOSPITAL GERAL,2011,HOSPITAL_PRIVADO,RUA MARQUES DO PARANA,303,,CENTRO,24033900,(21) 26299114,uac.huap@ebserh.gov.br,240,211,34,34,16,16,0,0,8,8,0,0,10,10
202601,SUDESTE,RJ,330330,NITEROI,12513,HOSPITAL MUNICIPAL CARLOS TORTELLY,FUNDACAO MUNICIPAL DE SAUDE,M,5,HOSPITAL GERAL,1155,HOSPITAL_PÚBLICO,ATHAYDE PARREIRAS,266,,NITEROI,24070090,(21) 2729-9342,,126,126,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330330,NITEROI,12521,SES RJ HOSPITAL ESTADUAL AZEVEDO LIMA,SECRETARIA DE ESTADO DE SAUDE SES,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,DR TEIXEIRA DE FREITAS,30,,FONSECA,24355090,2126271448,faturamento@fs.rj.gov.br,248,228,45,30,35,30,0,0,10,0,0,0,0,0
202601,SUDESTE,RJ,330330,NITEROI,12548,HOSPITAL DA POLICIA MILITAR DE NITEROI,HOSPITAL DA POLICIA MILITAR DE NITEROI,M,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,RUA MARTINS TORRES,245,,SANTA ROSA,24240705,(21)2715-4765,subdirtec?_hpmnit@pmerj.rj.gov.br,27,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330330,NITEROI,12556,HOSPITAL ORENCIO DE FREITAS,FUNDACAO MUNICIPAL DE SAUDE DE NITEROI,M,5,HOSPITAL GERAL,1155,HOSPITAL_PÚBLICO,MACHADO,S/N,,BARRETO,24111000,021 26203434,direcaohof@gmail.com,73,67,6,0,6,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330330,NITEROI,12599,HOSPITAL GETULIO VARGAS FILHO,FUNDACAO MUNICIPAL DE SAUDE,M,7,HOSPITAL ESPECIALIZADO,1155,HOSPITAL_PÚBLICO,TEIXEIRA DE FREITAS,S/N,,FONSECA,24130616,,,81,79,17,17,0,0,10,10,7,7,0,0,0,0
202601,SUDESTE,RJ,330330,NITEROI,12610,HOSPITAL DE OLHOS SANTA BEATRIZ,HOSPITAL OFTALMOLOGICO SANTA BEATRIZ LTDA,M,7,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,ALAMEDA SAO BOAVENTURA,586,,FONSECA,24120191,(21)26268000,diretoria@hosb.com.br,44,20,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330330,NITEROI,12718,HOSPITAL PSIQUIATRICO DE JURUJUBA,FUNDACAO MUNICIPAL DE SAUDE DE NITEROI,M,7,HOSPITAL ESPECIALIZADO,1155,HOSPITAL_PÚBLICO,AV SILVIO PICANCO,S/N,,CHARITAS,24370005,(21)26107678,hospitalpsiquiatricodejurujuba@saude.niteroi.rj.gov.br,45,45,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330330,NITEROI,12769,SES RJ INSTITUTO ESTADUAL DE DOENCAS DO TORAX ARY PARREIRAS,SECRETARIA DE ESTADO DE SAUDE DO RIO DE JANEIRO,E,7,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,RUA DR LUIZ PALMIER,762,,BARRETO,24110310,(21)27290008,dg@ietap.fs.rj.gov.br,81,32,10,0,10,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330330,NITEROI,12823,SEAP RJ HOSPITAL DE CUST E TRAT PSIQUIATRICO HENRIQUE ROXO,SECRETARIA DE ESTADO DE ADMINISTRACAO PENITENCIARIA,E,7,HOSPITAL ESPECIALIZADO,1023,HOSPITAL_PÚBLICO,RUA PROFESSOR HEITOR CARRILHO,S/N,,CENTRO,24030230,,seaphr@gmail.com,155,155,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330630,VOLTA REDONDA,25135,HOSPITAL MUNICIPAL SAO JOAO BATISTA,SERVICO AUTONOMO HOSPITALAR,M,5,HOSPITAL GERAL,1120,HOSPITAL_PÚBLICO,RUA NOSSA SENHORA DAS GRACAS,235,,SAO GERALDO,27253610,2433424144,sah@hsjb.org.br,171,155,19,9,9,9,0,0,10,0,0,0,0,0
202601,SUDESTE,RJ,330630,VOLTA REDONDA,25143,HOSPITAL MUNICIPAL DR MUNIR RAFFUL,HOSPITAL MUNICIPAL DR MUNIR RAFFUL,M,5,HOSPITAL GERAL,1031,HOSPITAL_PÚBLICO,AV JARAGUA,1020,,RETIRO,27277130,2433399393,hmr@epdvr.com.br,183,179,10,6,10,6,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330630,VOLTA REDONDA,25186,H FOA ECOSSISTEMA EM SAUDE E EDUCACAO ESCOLA MEDICA,FUNDACAO OSWALDO ARANHA,M,5,HOSPITAL GERAL,3069,HOSPITAL_FILANTRÓPICO,DR MIGUEL COUTO,70,,JARDIM AMALIA,27251260,24 33408371,direcao.executiva@hfoa.org.br,74,34,38,5,8,5,14,0,16,0,0,0,0,0
202601,SUDESTE,RJ,330630,VOLTA REDONDA,26050,HOSPITAL SANTA CECILIA,INSTITUTO DO CANCER DO CEARA,M,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,41 C,160,,VILA SANTA CECILIA,27255430,24 33443262,contabilidade@icc.org.br,125,18,30,6,20,6,5,0,5,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,32247,HOSP CASA EVANGELICO HOSP GERAL ADM E GESTAO HOSP,HOSP CASA EVANGELICO HOSP GERAL ADM E GESTAO HOSP,M,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,RUA BOM PASTOR,295,CASA 1 PARTE CASA 1,TIJUCA,20521060,,,134,0,63,0,48,0,5,0,10,0,0,0,0,0
202601,SUDESTE,RJ,330045,BELFORD ROXO,52825,SOPHIA MEDIC SERVICOS MEDICOS E CIRURGICOS LTDA,SOPHIA MEDIC SERVICOS MEDICOS E CIRURGICOS LTDA,M,7,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,BENJAMIM PINTO DIAS,1677,SALA PARTE HOSPITAL,CENTRO,26130001,21 41231376,MEDIC.SOPHIA@GMAIL.COM,50,50,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330330,NITEROI,55859,PROCEM CENTRO DE ESPECIALIDADES MEDICAS,C R P T ASSISTENCIA MEDICA E HOSPITALAR LTDA,M,7,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,TIRADENTES,12,E 18 PARTE,INGA,24210510,21 26210826,financeiro@clinicaprocem.com.br,60,0,24,0,0,0,4,0,20,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,89338,HOSPITAL DOUTOR MARCOS MORAES,HOSPITAL DE ONCOLOGIA DO MEIER S A,M,5,HOSPITAL GERAL,2054,HOSPITAL_PRIVADO,ARISTIDES CAIRE,00027,,MEIER,20775090,21 30316762,TRIBUTARIO.GESTAO@ONCOCLINICAS.COM,86,0,10,0,10,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330250,MAGE,103616,UNIDADE 24 HORAS DE SANTO ALEIXO,MUNICIPIO DE MAGE,M,20,PRONTO SOCORRO GERAL,1244,HOSPITAL_PÚBLICO,AVENIDA OTHON LINCH BEZERRA DE MELLO,329,ANT PRED CENTRO ADM,SANTO ALEIXO,25912206,,,14,14,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330330,NITEROI,105317,HOSPITAL MUNICIPAL OCEANICO DR GILSON CANTARINO HMOGC,FUNDACAO MUNICIPAL DE SAUDE DE NITEROI,M,5,HOSPITAL GERAL,1155,HOSPITAL_PÚBLICO,DOUTOR RAUL DE OLIVEIRA RODRIGUES,382,,PIRATININGA,24350630,21 31803948,CONTABILIDADESAUDEDENITEROI@GMAIL.COM,78,78,10,10,10,10,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330490,SAO GONCALO,113115,HOSPITAL MUNICIPAL RETAGUARDA GONCALENSE,SECRETARIA MUNICIPAL DE SAUDE DE SAO GONCALO,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA JOAO DE SOUZA,410,,CENTRO,24445370,,,86,59,27,0,27,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330490,SAO GONCALO,113891,HOSPITAL DO CANCER E DO CORACAO HCCOR,SECRETARIA MUNICIPAL DE SAUDE DE SAO GONCALO,M,7,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,ESTRADA DE PACHECO,216,A,LAGOINHA,24440400,,,47,47,10,10,10,10,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330190,ITABORAI,131237,HOSPITAL MUNICIPAL SAO JUDAS TADEU,PREFEITURA MUNICIPAL DE ITABORAI,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,AV 22 DE MAIO,S/N,,OUTEIRO DAS PEDRAS,24812222,21 2645-4508,gabinete.saude@itaborai.rj.gov.br,30,30,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330170,DUQUE DE CAXIAS,155055,MATERNIDADE SANTA CRUZ DA SERRA,MUNICIPIO DE DUQUE DE CAXIAS,M,7,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,AV AUTOMOVEL CLUBE,275,,SANTA CRUZ DA SERRA,25272405,,rh.maternidade.stserra@gmail.com,105,105,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330414,QUEIMADOS,182974,HOSPITAL E MATERNIDADE MUNICIPAL DE QUEIMADOS,MUNICIPIO DE QUEIMADOS,M,7,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,RUA DEUSINHO DE FREITAS,13,,CENTRO,26325290,26657800,,32,32,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330360,PARACAMBI,219436,MATERNIDADE LAURINDO JOSE FERREIRA,MUNICIPIO DE PARACAMBI,M,7,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,AVENIDA JONAS LEAL,17,,LAGES,26600000,,,15,15,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330020,ARARUAMA,221015,HOSPITAL MUNICIPAL DR JAQUELINE PRATES CNPJ 31 135 0460001 4,HOSPITAL MUNICIPAL DRA JAQUELINE PRATES,M,5,HOSPITAL GERAL,1031,HOSPITAL_PÚBLICO,MAJOR FELIX MOREIRA,267,,CENTRO,28979102,22 97402349,sesau01@gmail.com,70,70,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330350,NOVA IGUACU,679550,SES RJ HOSPITAL ESTADUAL DR RICARDO CRUZ,SECRETARIA DE ESTADO DE SAUDE SES,E,5,HOSPITAL GERAL,1023,HOSPITAL_PÚBLICO,AVENIDA GOVERNADOR ROBERTO SILVEIRA,1385,,CENTRO,26285060,26586670,hospitalestadualdrricardocruz@gmail.com,300,160,140,0,100,0,40,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,697524,HOSPITAL DE AERONAUTICA DOS AFONSOS,HOSPITAL DE AERONAUTICA DOS AFONSOS,M,5,HOSPITAL GERAL,1015,HOSPITAL_PÚBLICO,AVENIDA MARECHAL FONTENELLE,1628,CAMPO DOS AFONSOS,CAMPO DOS AFONSOS,21740002,32896800,secdir.haaf@fab.mil.br,81,0,7,0,7,0,0,0,0,0,0,0,0,0
